lead_id,primary_sentiment,sentiment_score,sentiment_combo_score,intent,message_quality,summary_length,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,historical_avg_sentiment,industry_close_rate,sale_closed
lead:00000001,urgent,0.82,8,closing,detailed,417,1,2.86,4,1,0.45,0.632,1
lead:00000002,urgent,0.84,6,upsell_opportunity,medium,206,1,2.19,1,1,0.49,0.656,1
lead:00000003,negotiating,0.69,5,evaluating,short,121,1,1.12,1,0,0.58,0.47,1
lead:00000004,curious,0.42,2,information_seeking,medium,217,0,0.83,0,0,0.33,0.496,1
lead:00000005,curious,0.28,2,closing,long,243,1,2.86,0,0,0.07,0.646,1
lead:00000006,interested,0.34,6,upsell_opportunity,medium,229,1,1.94,3,1,0.07,0.528,1
lead:00000007,urgent,0.61,5,comparison_shopping,long,240,0,0.75,1,0,0.25,0.443,0
lead:00000008,curious,0.32,5,comparison_shopping,medium,188,1,0.44,1,1,0.03,0.533,0
lead:00000009,curious,0.05,1,window_shopping,medium,223,0,0.35,0,0,-0.22,0.402,0
lead:00000010,dissatisfied,-0.41,-1,upsell_opportunity,long,238,1,1.62,0,0,-0.25,0.589,1
lead:00000011,dissatisfied,-0.45,-3,closing,medium,166,0,2.05,0,0,-0.47,0.69,1
lead:00000012,dissatisfied,-0.49,0,evaluating,medium,183,0,0.56,7,1,-0.18,0.583,0
lead:00000013,satisfied,0.73,3,churning,short,163,0,0.39,1,0,0.37,0.361,0
lead:00000014,angry,-0.53,-3,evaluating,detailed,420,1,0.7,0,0,-0.55,0.599,0
lead:00000015,satisfied,0.81,4,negotiating,long,303,1,1.67,0,0,0.59,0.641,1
lead:00000016,satisfied,0.79,5,negotiating,medium,185,1,1.69,0,0,0.55,0.522,1
lead:00000017,curious,0.1,3,negotiating,medium,166,1,1.2,0,0,-0.13,0.52,0
lead:00000018,interested,0.62,5,ready_to_buy,long,289,1,2.48,0,0,0.46,0.575,1
lead:00000019,negotiating,0.31,3,evaluating,detailed,378,0,1.24,1,0,0.12,0.477,0
lead:00000020,interested,0.6,4,window_shopping,short,134,0,0.28,0,0,0.23,0.477,1
lead:00000021,curious,0.07,5,ready_to_buy,medium,224,0,2.3,2,1,-0.01,0.582,1
lead:00000022,satisfied,0.8,6,upsell_opportunity,short,132,1,2.2,0,0,0.45,0.526,1
lead:00000023,urgent,0.59,3,comparison_shopping,medium,219,1,0.83,0,0,0.49,0.378,0
lead:00000024,negotiating,0.51,3,negotiating,detailed,417,1,1.68,0,0,-0.03,0.558,1
lead:00000025,dissatisfied,-0.6,-2,closing,long,267,1,2.04,0,0,-0.47,0.713,1
lead:00000026,curious,0.32,1,information_seeking,long,258,0,0.91,0,0,0.05,0.498,1
lead:00000027,angry,-0.52,-3,evaluating,long,310,1,0.87,0,0,-0.27,0.567,1
lead:00000028,negotiating,0.49,4,closing,long,282,1,2.76,0,0,0.41,0.649,1
lead:00000029,negotiating,0.57,6,closing,medium,186,1,2.82,1,0,0.43,0.618,1
lead:00000030,satisfied,0.87,7,comparison_shopping,detailed,489,1,0.97,1,0,0.74,0.428,0
lead:00000031,dissatisfied,-0.39,1,comparison_shopping,detailed,346,0,0.32,4,1,-0.51,0.413,0
lead:00000032,curious,0.14,3,closing,detailed,337,1,2.64,1,0,0.12,0.593,1
lead:00000033,negotiating,0.31,2,comparison_shopping,long,245,1,0.64,0,0,-0.08,0.504,0
lead:00000034,angry,-0.98,-4,at_risk,medium,172,0,0.0,1,0,-0.7,0.449,0
lead:00000035,interested,0.49,4,negotiating,medium,169,1,1.5,3,0,0.41,0.633,1
lead:00000036,negotiating,0.53,4,upsell_opportunity,detailed,372,1,2.12,0,0,0.32,0.601,1
lead:00000037,urgent,0.6,5,closing,long,239,1,2.82,0,0,0.29,0.666,1
lead:00000038,angry,-0.79,0,ready_to_buy,long,277,1,1.97,3,1,-0.7,0.639,1
lead:00000039,dissatisfied,-0.58,-2,comparison_shopping,long,281,0,0.42,0,0,-0.39,0.526,0
