primary_sentiment,sentiment_score,sentiment_combo_score,intent,message_quality,summary_length,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,historical_avg_sentiment,industry_close_rate,sale_score
7,3,3,3,4,3,1,3,3,1,2,3,0.9732
7,3,3,9,2,2,1,3,2,1,3,3,0.9637
5,3,2,5,1,1,1,2,2,0,3,2,0.6748
2,2,2,6,2,2,0,2,1,0,2,2,0.4941
2,2,2,3,3,2,1,3,1,0,2,3,0.9205
4,2,3,9,2,2,1,3,2,1,2,2,0.9178
7,2,2,4,3,2,0,2,2,0,2,2,0.5239
2,2,2,4,2,2,1,1,2,1,2,2,0.4361
2,2,1,10,2,2,0,1,1,0,1,1,0.1687
3,1,1,9,3,2,1,2,1,0,1,2,0.6315
3,1,1,3,2,2,0,3,1,0,1,3,0.7885
3,1,1,5,2,2,0,2,3,1,2,2,0.5018
6,3,2,2,1,1,0,1,2,0,2,1,0.1499
1,1,1,5,4,3,1,2,1,0,1,3,0.7658
6,3,2,7,3,3,1,2,1,0,3,3,0.8449
6,3,2,7,2,2,1,2,1,0,3,2,0.7106
2,2,2,7,2,2,1,2,1,0,2,2,0.6559
4,2,2,8,3,3,1,3,1,0,2,2,0.8886
5,2,2,5,4,3,0,2,2,0,2,2,0.5875
4,2,2,10,1,1,0,1,1,0,2,2,0.2172
2,2,2,8,2,2,0,3,2,1,2,2,0.8482
6,3,3,9,1,1,1,3,1,0,2,2,0.8975
7,2,2,4,2,2,1,2,1,0,3,1,0.4354
5,2,2,7,4,3,1,2,1,0,2,2,0.7241
3,1,1,3,3,2,1,3,1,0,1,3,0.8908
2,2,1,6,3,2,0,2,1,0,2,2,0.5223
1,1,1,5,3,3,1,2,1,0,1,2,0.6045
5,2,2,3,3,3,1,3,1,0,2,3,0.9208
5,2,3,3,2,2,1,3,2,0,2,3,0.9172
6,3,3,4,4,3,1,2,2,0,3,2,0.7799
3,1,1,4,4,3,0,1,3,1,1,1,0.2004
2,2,2,3,4,3,1,3,2,0,2,2,0.8948
5,2,2,4,3,2,1,2,1,0,2,2,0.6551
1,1,1,1,2,2,0,1,2,0,1,2,0.1568
4,2,2,7,2,2,1,2,2,0,2,3,0.7906
5,2,2,9,4,3,1,3,1,0,2,3,0.9463
7,2,2,3,3,2,1,3,1,0,2,3,0.9165
1,1,1,8,3,2,1,3,2,1,1,3,0.9415
3,1,1,4,3,2,0,1,1,0,1,2,0.1797
4,2,2,8,4,3,1,3,2,1,2,2,0.9356
4,2,3,8,4,3,1,3,2,1,2,3,0.9652
1,1,1,2,1,1,0,1,3,1,1,2,0.1993
1,1,1,4,2,2,1,1,2,1,1,1,0.2334
5,2,2,9,2,2,1,3,1,0,2,3,0.9254
2,2,2,5,2,2,0,2,2,0,2,2,0.5086
5,2,1,6,2,2,0,2,1,0,2,2,0.4751
