lead_id,whatsapp_count,phone_count,email_count,total_interactions,dominant_channel,first_channel,last_channel,is_multi_channel,channel_switch_count,conversation_time_hours,conv_time_bucket,recency_bucket,engagement_depth,channel_x_stage,historical_deals_won,sale_closed
lead:00000001,3,2,3,8,whatsapp,email,email,1,3,98.2,medium_medium,cold,4.3,whatsapp_Quotation,4,0
lead:00000002,0,1,1,2,phone,phone,email,1,1,13.5,high_fast,active,1.5,phone_New_Lead,0,0
lead:00000003,3,2,4,9,email,whatsapp,whatsapp,1,1,426.3,low_slow,stale,4.4,email_Nurturing,1,0
lead:00000004,0,0,4,4,email,email,email,0,0,437.9,low_slow,stale,2.4,email_Proposal_Sent,0,0
lead:00000005,8,2,8,18,whatsapp,whatsapp,phone,1,2,977.7,high_slow,cold,6.9,whatsapp_Quotation,1,0
lead:00000006,3,1,4,8,email,email,phone,1,1,383.9,low_slow,cold,4.1,email_Nurturing,0,0
lead:00000007,6,2,3,11,whatsapp,email,phone,1,2,545.1,low_slow,active,5.0,whatsapp_Closed,6,1
lead:00000008,7,2,6,15,whatsapp,whatsapp,whatsapp,1,2,1272.0,high_slow,stale,6.4,whatsapp_Lost,0,0
lead:00000009,0,1,0,1,phone,phone,phone,0,0,7.6,high_fast,fresh,0.7,phone_New_Lead,0,0
lead:00000010,0,0,1,1,email,email,email,0,0,18.8,high_fast,fresh,0.8,email_Quotation,1,0
lead:00000011,0,1,3,4,email,email,phone,1,2,628.3,high_slow,stale,3.1,email_Quotation,1,0
lead:00000012,9,2,3,14,whatsapp,whatsapp,whatsapp,1,1,262.3,medium_medium,active,5.8,whatsapp_Contract_Sent,2,1
lead:00000013,6,2,1,9,whatsapp,whatsapp,whatsapp,1,1,323.5,low_slow,active,4.4,whatsapp_Quotation,8,1
lead:00000014,8,3,4,15,whatsapp,whatsapp,whatsapp,1,2,313.0,low_slow,stale,6.1,whatsapp_Contract_Sent,3,1
