whatsapp_count,phone_count,email_count,total_interactions,dominant_channel,first_channel,last_channel,is_multi_channel,channel_switch_count,conversation_time_hours,conv_time_bucket,recency_bucket,engagement_depth,channel_x_stage,historical_deals_won,sale_score
2,2,2,2,3,1,1,1,3,2,5,1,2,34,3,0.938
1,1,1,1,2,2,1,1,1,1,1,3,1,19,1,0.0962
2,2,2,2,1,3,3,1,1,2,4,2,2,8,1,0.5409
1,1,2,1,1,1,1,0,0,2,4,2,1,9,1,0.1297
3,2,3,3,3,3,2,1,2,3,2,1,3,34,1,0.4081
2,1,2,2,1,1,2,1,1,2,4,1,2,8,1,0.2367
3,2,2,2,3,1,2,1,2,2,4,3,2,25,3,0.9749
3,2,3,3,3,3,3,1,2,3,2,2,3,29,1,0.5444
1,1,1,1,2,2,2,0,0,1,1,4,1,19,1,0.0675
1,1,1,1,1,1,1,0,0,1,1,4,1,10,1,0.0443
1,1,2,1,1,1,2,1,2,3,2,2,2,10,1,0.1076
3,2,2,3,3,3,3,1,1,2,5,3,3,26,2,0.9462
3,2,1,2,3,3,3,1,1,2,4,3,2,34,3,0.9619
3,2,2,3,3,3,3,1,2,2,4,2,3,26,2,0.8991
1,2,1,1,2,2,1,1,1,1,1,4,1,19,1,0.254
2,3,2,3,2,2,2,1,1,2,4,3,3,22,3,0.9606
2,1,2,2,1,1,3,1,1,3,2,1,2,6,1,0.13
1,1,2,1,1,1,1,0,0,3,2,3,1,10,1,0.0708
2,2,2,2,1,3,2,1,2,2,4,1,2,2,1,0.5566
1,1,3,2,1,1,1,1,1,2,5,2,2,8,2,0.5533
2,2,2,3,3,2,3,1,3,2,4,3,3,26,1,0.7071
3,1,3,3,3,1,2,1,2,2,4,2,3,30,1,0.4803
2,2,1,2,3,3,3,1,2,2,5,3,2,34,3,0.9641
3,2,2,3,3,3,3,1,2,2,5,2,3,34,1,0.7665
3,1,1,2,3,3,2,1,1,2,4,1,2,26,3,0.8979
1,1,3,2,1,1,2,1,1,2,4,4,2,5,2,0.6071
2,3,1,2,2,2,2,1,3,3,2,2,2,14,3,0.9402
2,2,3,2,1,1,1,1,2,2,4,3,2,8,2,0.8067
2,3,2,2,3,3,2,1,1,3,2,1,2,26,3,0.9389
3,1,3,3,3,3,1,1,2,3,2,2,3,34,1,0.2556
3,2,2,3,3,3,3,1,3,2,4,2,3,25,1,0.7719
3,2,1,2,3,3,3,1,1,2,4,1,3,26,2,0.8788
1,3,1,2,2,2,2,1,3,1,3,3,2,18,1,0.6183
1,1,1,1,3,3,3,0,0,1,1,1,1,31,1,0.0434
3,1,2,3,3,3,3,1,2,3,2,3,3,32,1,0.3273
2,1,2,2,3,3,2,1,3,2,4,3,2,26,3,0.9177
2,1,2,2,1,1,3,1,3,3,2,2,2,6,2,0.3877
1,2,2,2,2,1,1,1,1,3,2,1,2,22,3,0.6417
3,2,2,3,3,3,3,1,3,3,2,3,3,32,1,0.561
2,1,2,2,3,1,1,1,1,2,4,4,2,26,1,0.5568
1,2,2,2,2,2,2,1,1,1,3,3,2,24,1,0.3206
1,1,1,1,3,1,3,1,1,1,1,4,1,36,1,0.1161
1,1,1,1,2,3,3,1,1,1,1,1,1,14,1,0.0874
2,2,2,2,3,1,1,1,2,2,5,1,2,26,3,0.9554
2,2,2,2,1,1,1,1,3,2,4,2,2,10,1,0.4905
3,2,2,3,3,3,2,1,1,3,2,2,3,32,1,0.4586
1,3,2,2,2,2,2,1,1,1,3,1,2,24,1,0.4131
3,2,1,3,3,3,2,1,3,2,5,2,3,25,2,0.9335
2,1,2,2,3,3,3,1,1,2,4,3,2,32,2,0.7233
1,2,2,2,1,3,2,1,3,2,5,1,2,11,1,0.4586
1,1,1,1,1,2,2,1,1,1,1,2,1,7,1,0.0666
2,2,2,2,1,1,1,1,2,2,4,3,2,9,1,0.5523
2,1,2,1,1,1,3,1,2,2,5,1,2,8,2,0.6645
2,1,2,2,1,3,3,1,2,2,5,3,2,10,2,0.7355
3,3,3,3,3,2,1,1,3,3,2,1,3,28,2,0.866
3,1,2,3,3,3,3,1,2,3,2,4,3,34,3,0.8298
2,2,2,2,3,1,3,1,3,2,4,2,2,32,1,0.6282
2,1,2,2,3,3,3,1,1,3,2,1,2,32,1,0.1828
1,1,2,1,1,1,1,1,1,3,2,1,1,8,1,0.0912
2,2,2,2,3,1,1,1,2,2,5,3,2,27,2,0.9203
2,3,2,2,2,1,1,1,3,3,2,2,2,16,3,0.9334
1,2,2,2,1,1,3,1,2,2,5,3,2,9,1,0.5745
1,1,1,1,3,2,2,1,1,1,3,2,1,29,1,0.2316
3,3,2,3,3,3,1,1,2,3,2,4,3,35,3,0.9632
3,3,1,3,3,3,1,1,2,2,4,3,3,26,2,0.9598
1,1,1,1,1,3,3,1,1,3,4,2,1,6,1,0.2976
1,1,1,1,2,2,2,0,0,1,1,4,1,19,1,0.0675
1,1,1,1,1,1,3,1,1,2,4,1,1,11,1,0.1703
2,1,2,1,3,3,3,1,1,3,2,2,2,32,2,0.5073
3,3,3,3,3,1,2,1,1,2,4,4,3,26,3,0.9895
2,2,2,2,3,1,3,1,3,2,4,4,2,27,1,0.7834
2,3,1,2,3,3,3,1,2,2,5,2,2,34,3,0.981
2,2,2,2,3,3,3,1,2,1,3,3,2,34,3,0.9114
1,1,1,1,1,2,2,1,1,1,1,4,1,7,1,0.1061
3,3,2,3,3,3,3,1,2,2,5,3,3,26,3,0.9927
2,2,2,2,3,3,3,1,2,2,5,1,2,33,1,0.6842
3,1,2,3,3,1,1,1,1,2,4,1,3,29,1,0.3836
2,2,2,2,3,1,1,1,1,2,5,3,2,26,3,0.9711
2,3,2,3,2,3,1,1,1,3,2,3,3,16,3,0.9336
3,1,2,2,3,3,3,1,1,2,4,3,2,26,3,0.9436
3,3,2,3,3,2,3,1,3,2,5,1,3,26,3,0.9878
1,1,2,1,1,1,1,1,1,2,4,1,2,9,1,0.1759
3,2,1,2,3,2,3,1,1,2,4,3,2,34,3,0.9595
2,2,2,2,1,1,1,1,2,2,4,1,2,6,1,0.4634
