lead_id,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,industry_close_rate,historical_avg_sentiment,intent,total_interactions,is_multi_channel,recency_bucket,engagement_depth,quotation_sent,is_enterprise_deal,pipeline_stage,days_in_pipeline,pipeline_velocity,total_price_with_tax,consumer_score_tier,interaction_score_tier,product_quotation_score_tier,sale_closed
lead:00000001,1,2.86,4,1,0.632,0.45,SALES,8,1,cold,4.3,1,0,Lost,38,0.0292,28560,High,High,Medium,1
lead:00000002,1,2.19,1,1,0.656,0.49,SALES,2,1,active,1.5,1,0,Sales Follow Up,17,0.1379,201780,High,Low,Medium,1
lead:00000003,1,1.12,1,0,0.47,0.58,NON SALES,9,1,stale,4.4,1,1,Closed,1,6.0067,111510,Medium,Medium,High,1
lead:00000004,0,0.83,0,0,0.496,0.33,NON SALES,4,0,stale,2.4,1,0,Quotation,23,0.1514,138060,Medium,Low,Medium,1
lead:00000005,1,2.86,0,0,0.646,0.07,SALES,18,1,cold,6.9,1,1,Sales Qualified,10,0.1982,232460,High,Medium,Medium,1
lead:00000006,1,1.94,3,1,0.528,0.07,SALES,8,1,cold,4.1,1,0,Closed,2,3.0044,21840,High,Low,High,1
lead:00000007,0,0.75,1,0,0.443,0.25,NON SALES,11,1,active,5.0,1,1,Sales Follow Up,11,0.2313,489700,Medium,High,Low,0
lead:00000008,1,0.44,1,1,0.533,0.03,NON SALES,15,1,stale,6.4,1,0,Sales Follow Up,6,0.4218,24080,Low,Medium,Medium,0
lead:00000009,0,0.35,0,0,0.402,-0.22,NON SALES,1,0,fresh,0.7,1,1,Follow Up / Negot.,20,0.2085,280840,Low,Low,Medium,0
lead:00000010,1,1.62,0,0,0.589,-0.25,SALES,1,0,fresh,0.8,0,1,On Hold,75,0.0166,43680,Medium,Low,Low,1
lead:00000011,0,2.05,0,0,0.69,-0.47,SALES,4,1,stale,3.1,1,0,Closed,2,3.0083,360490,High,Low,High,1
lead:00000012,0,0.56,7,1,0.583,-0.18,NON SALES,14,1,active,5.8,0,0,Quotation,15,0.232,28560,Medium,High,Low,0
lead:00000013,0,0.39,1,0,0.361,0.37,NON SALES,9,1,active,4.4,1,1,Contract Sent,7,0.7091,24640,Low,High,High,0
lead:00000014,1,0.7,0,0,0.599,-0.55,NON SALES,15,1,stale,6.1,1,1,Proposal Sent,29,0.1133,475540,High,High,Low,0
lead:00000015,1,1.67,0,0,0.641,0.59,SALES,3,1,fresh,2.0,0,0,Manual Follow Up,9,0.2775,297360,High,Low,Low,1
