has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,industry_close_rate,historical_avg_sentiment,intent,total_interactions,is_multi_channel,recency_bucket,engagement_depth,quotation_sent,is_enterprise_deal,pipeline_stage,days_in_pipeline,pipeline_velocity,total_price_with_tax,consumer_score_tier,interaction_score_tier,product_quotation_score_tier,sale_score
1,3,3,1,3,2,2,2,1,1,2,1,0,5,3,1,1,3,3,2,0.825
1,3,2,1,3,3,2,1,1,3,1,1,0,11,2,2,2,3,1,2,0.6917
1,2,2,0,2,3,1,2,1,2,2,1,1,1,1,3,2,2,2,3,0.6683
0,2,1,0,2,2,1,1,0,2,1,1,0,10,2,2,2,2,1,2,0.3283
1,3,1,0,3,2,2,3,1,1,3,1,1,12,2,2,2,3,2,2,0.655
1,3,2,1,2,2,2,2,1,1,2,1,0,1,1,3,1,3,1,3,0.72
0,2,2,0,2,2,1,2,1,3,2,1,1,11,2,2,3,2,3,1,0.4717
1,1,2,1,2,2,1,3,1,2,3,1,0,11,1,3,1,1,2,2,0.5333
0,1,1,0,1,1,1,1,0,4,1,1,1,4,2,2,2,1,1,2,0.21
1,2,1,0,2,1,2,1,0,4,1,0,1,8,3,1,1,2,1,1,0.275
0,3,1,0,3,1,2,1,1,2,2,1,0,1,1,3,3,3,1,3,0.5533
0,2,3,1,2,2,1,3,1,3,3,0,0,10,2,2,1,2,3,1,0.4867
0,1,2,0,1,2,1,2,1,3,2,1,1,2,1,3,1,1,3,3,0.5117
1,2,1,0,3,1,1,3,1,2,3,1,1,9,3,1,3,3,3,1,0.6233
1,2,1,0,3,3,2,1,1,4,1,0,0,6,2,2,2,3,1,1,0.465
1,2,1,0,2,3,2,3,1,3,3,1,0,9,2,2,2,2,3,3,0.7267
1,2,1,0,2,2,2,2,1,1,2,1,0,1,1,3,1,2,1,3,0.535
1,3,1,0,2,2,2,1,0,3,1,0,0,11,2,2,2,3,1,1,0.3967
0,2,2,0,2,2,1,2,1,1,2,1,1,12,2,2,3,2,2,2,0.445
0,1,1,0,2,2,1,2,1,2,2,1,1,4,2,2,3,1,2,2,0.3233
0,3,2,1,2,2,2,3,1,3,3,1,1,4,3,1,1,3,2,2,0.6267
1,3,1,0,2,2,2,3,1,2,3,0,0,4,2,2,1,3,2,1,0.4883
1,2,1,0,1,3,1,2,1,3,2,0,0,5,3,1,1,1,3,1,0.3367
1,2,1,0,2,2,2,3,1,2,3,1,0,5,3,1,1,2,2,2,0.5283
1,3,1,0,3,1,2,2,1,1,2,1,1,2,2,2,1,3,3,3,0.775
0,2,1,0,2,2,1,2,1,4,2,1,0,4,3,1,2,2,2,2,0.435
1,2,1,0,2,1,1,2,1,2,2,1,1,4,3,2,2,2,3,3,0.6533
