lead_id,product_category,product_type,product_complexity,product_base_price,product_tax_rate,price_tier,capacity_tons,capacity_bin,product_x_capacity,total_price_with_tax,capacity_price_ratio,quotation_sent,is_enterprise_deal,industry_close_rate,pipeline_stage,is_repeat_customer,sale_closed,days_in_pipeline,pipeline_velocity
lead:00000001,cooler,portable,1,25500,12,low,10,6-10t,portable_6-10t,28560,0.00035,1,0,0.618,Lost,0,0,38,0.0292
lead:00000002,hybrid,premium,3,171000,18,high,11,11-20t,premium_11-20t,201780,5.5e-05,1,0,0.567,Sales Follow Up,0,0,17,0.1379
lead:00000003,hybrid,combo,2,94500,18,mid,7,6-10t,combo_6-10t,111510,6.3e-05,1,1,0.607,Closed,1,1,1,6.0067
lead:00000004,hybrid,heat_pump,4,117000,18,mid,7,6-10t,heat_pump_6-10t,138060,5.1e-05,1,0,0.612,Quotation,0,1,23,0.1514
lead:00000005,chiller,glycol,4,197000,18,high,23,21-50t,glycol_21-50t,232460,9.9e-05,1,1,0.516,Sales Qualified,0,1,10,0.1982
lead:00000006,cooler,economy,2,19500,12,low,6,6-10t,economy_6-10t,21840,0.000275,1,0,0.553,Closed,0,1,2,3.0044
lead:00000007,chiller,industrial,4,415000,18,enterprise,12,11-20t,industrial_11-20t,489700,2.5e-05,1,1,0.544,Sales Follow Up,0,0,11,0.2313
lead:00000008,cooler,economy,2,21500,12,low,1,1-5t,economy_1-5t,24080,4.2e-05,1,0,0.577,Sales Follow Up,0,1,6,0.4218
lead:00000009,hybrid,solar_hybrid,4,238000,18,high,4,1-5t,solar_hybrid_1-5t,280840,1.4e-05,1,1,0.538,Follow Up / Negot.,0,1,20,0.2085
lead:00000010,cooler,floor_stand,1,39000,12,low,3,1-5t,floor_stand_1-5t,43680,6.9e-05,0,1,0.621,On Hold,0,0,75,0.0166
lead:00000011,chiller,scroll,3,305500,18,high,7,6-10t,scroll_6-10t,360490,1.9e-05,1,0,0.565,Closed,0,1,2,3.0083
lead:00000012,cooler,evaporative,1,25500,12,low,10,6-10t,evaporative_6-10t,28560,0.00035,0,0,0.575,Quotation,0,0,15,0.232
lead:00000013,cooler,portable,1,22000,12,low,5,1-5t,portable_1-5t,24640,0.000203,1,1,0.662,Contract Sent,0,1,7,0.7091
lead:00000014,chiller,screw,4,403000,18,enterprise,80,51-100t,screw_51-100t,475540,0.000168,1,1,0.422,Proposal Sent,0,1,29,0.1133
lead:00000015,hybrid,solar_hybrid,4,252000,18,high,3,1-5t,solar_hybrid_1-5t,297360,1e-05,0,0,0.589,Manual Follow Up,0,0,9,0.2775
lead:00000016,hybrid,inverter,2,92500,18,mid,6,6-10t,inverter_6-10t,109150,5.5e-05,1,0,0.597,Proposal Sent,1,1,18,0.2005
lead:00000017,cooler,split,2,64500,12,mid,8,6-10t,split_6-10t,72240,0.000111,1,0,0.569,Closed,0,1,0,6.0
lead:00000018,hybrid,solar_hybrid,4,188500,18,high,19,11-20t,solar_hybrid_11-20t,222430,8.5e-05,0,0,0.574,Sales Follow Up,1,0,10,0.2584
lead:00000019,chiller,industrial,4,371500,18,high,6,6-10t,industrial_6-10t,438370,1.4e-05,1,1,0.498,Sales Qualified,1,1,9,0.2297
lead:00000020,chiller,industrial,4,290000,18,high,49,21-50t,industrial_21-50t,342200,0.000143,1,1,0.458,Follow Up / Negot.,0,0,20,0.192
lead:00000021,cooler,evaporative,2,24500,12,low,9,6-10t,evaporative_6-10t,27440,0.000328,1,1,0.608,Follow Up / Negot.,0,1,30,0.1287
lead:00000022,cooler,split,2,50000,12,mid,4,1-5t,split_1-5t,56000,7.1e-05,0,0,0.583,Follow Up / Negot.,0,0,18,0.2229
lead:00000023,cooler,floor_stand,2,32500,12,low,1,1-5t,floor_stand_1-5t,36400,2.7e-05,0,0,0.564,Lost,0,0,48,0.0125
lead:00000024,cooler,modular,2,66000,12,mid,10,6-10t,modular_6-10t,73920,0.000135,1,0,0.542,Lost,0,0,51,0.0211
lead:00000025,cooler,floor_stand,2,30000,12,low,1,1-5t,floor_stand_1-5t,33600,3e-05,1,1,0.613,Contract Sent,1,1,14,0.3538
lead:00000026,hybrid,heat_pump,4,127500,18,mid,2,1-5t,heat_pump_1-5t,150450,1.3e-05,1,0,0.592,Follow Up / Negot.,0,0,34,0.1172
