,product_type,product_complexity,product_base_price,product_tax_rate,price_tier,capacity_tons,capacity_bin,product_x_capacity,total_price_with_tax,capacity_price_ratio,quotation_sent,is_enterprise_deal,industry_close_rate,pipeline_stage,is_repeat_customer,days_in_pipeline,pipeline_velocity,sale_score
2,15,1,1,12,1,2,2,54,1,3,1,0,3,5,0,3,1,0.6525
3,16,3,2,18,3,2,3,56,2,2,1,0,2,11,0,2,2,0.5589
3,5,2,2,18,2,2,2,19,2,2,1,1,3,1,1,1,3,0.9818
3,11,4,2,18,2,2,2,40,2,2,1,0,3,10,0,2,2,0.6409
1,10,4,2,18,3,3,4,34,2,2,1,1,2,12,0,2,2,0.5591
2,7,2,1,12,1,2,2,26,1,3,1,0,2,1,0,1,3,0.9071
1,12,4,3,18,4,2,3,41,3,1,1,1,2,11,0,2,2,0.4693
2,7,2,1,12,1,1,1,24,1,2,1,0,2,11,0,1,3,0.7695
3,20,4,2,18,3,1,1,71,2,1,1,1,2,4,0,2,2,0.7566
2,9,1,1,12,1,1,1,30,1,2,0,1,3,8,0,3,1,0.2159
1,19,3,3,18,3,2,2,70,3,1,1,0,2,1,0,1,3,0.8406
2,8,1,1,12,1,2,2,29,1,3,0,0,2,10,0,2,2,0.2604
2,15,1,1,12,1,1,1,52,1,3,1,1,3,2,0,1,3,0.9211
1,18,4,3,18,4,3,5,65,3,3,1,1,1,9,0,3,1,0.3218
3,20,4,2,18,3,1,1,71,2,1,0,0,2,6,0,2,2,0.2582
3,13,2,2,18,2,2,2,48,2,2,1,0,2,9,1,2,2,0.8949
2,21,2,1,12,2,2,2,77,1,2,1,0,2,1,0,1,3,0.8956
3,20,4,2,18,3,2,3,72,2,2,0,0,2,11,1,2,2,0.4452
1,12,4,3,18,3,2,2,44,3,1,1,1,1,12,1,2,2,0.7814
1,12,4,3,18,3,3,4,42,3,3,1,1,1,4,0,2,2,0.6412
2,8,2,1,12,1,2,2,29,1,3,1,1,3,4,0,3,1,0.7096
2,21,2,1,12,2,1,1,75,1,2,0,0,2,4,0,2,2,0.3379
2,9,2,1,12,1,1,1,30,1,1,0,0,2,5,0,3,1,0.2006
2,14,2,1,12,2,2,2,51,1,3,1,0,2,5,0,3,1,0.5976
2,9,2,1,12,1,1,1,30,1,1,1,1,3,2,1,2,2,0.9565
3,11,4,2,18,2,1,1,37,2,1,1,0,2,4,0,3,1,0.5792
3,6,5,2,18,3,3,4,22,2,2,1,1,2,4,1,3,2,0.9565
2,21,3,1,12,2,1,1,75,1,1,1,0,3,2,1,1,3,0.968
3,6,5,2,18,3,1,1,20,2,1,1,0,2,4,0,3,1,0.556
3,22,5,2,18,3,2,3,79,2,2,1,1,2,10,0,2,2,0.5931
2,8,2,1,12,1,1,1,27,1,3,0,1,2,4,1,3,2,0.8377
3,13,2,2,18,2,3,4,47,2,3,1,0,2,1,0,1,3,0.896
3,16,4,2,18,2,2,3,56,2,2,1,0,2,9,0,2,2,0.6037
2,9,2,1,12,1,2,2,32,1,3,0,0,3,8,0,3,1,0.1792
1,2,3,2,18,3,3,4,6,2,3,0,1,1,6,1,2,2,0.6232
1,4,4,3,18,4,2,2,15,3,1,1,1,2,6,1,2,1,0.6616
3,6,5,2,18,3,2,2,23,2,2,0,1,3,3,0,1,3,0.5746
1,1,4,3,18,4,2,2,4,3,1,1,1,1,2,1,2,2,0.9071
3,16,4,2,18,2,2,3,56,2,2,1,1,2,9,1,2,2,0.8822
1,17,3,3,18,3,2,3,59,3,2,0,0,1,5,0,3,1,0.1033
2,7,2,1,12,1,1,1,24,1,2,1,0,3,10,1,2,2,0.893
1,1,5,3,18,4,3,4,2,3,2,0,1,2,12,0,2,2,0.1175
1,1,4,3,18,4,2,3,1,3,2,1,1,2,3,1,3,1,0.8108
1,19,3,2,18,3,3,4,68,2,3,1,0,1,9,1,2,2,0.8465
3,6,4,2,18,3,3,4,22,2,3,1,0,2,3,0,2,2,0.7459
3,11,4,2,18,2,2,2,40,2,2,1,0,3,5,0,2,1,0.4482
3,5,2,2,18,2,2,3,17,2,3,1,0,3,9,0,2,2,0.6853
