whatsapp_count,phone_count,email_count,total_interactions,dominant_channel,first_channel,last_channel,is_multi_channel,channel_switch_count,conversation_time_hours,conv_time_bucket,recency_bucket,engagement_depth,channel_x_stage,historical_deals_won,any_followup_responded,followup_response_rate,last_followup_task_type,agent_response_ratio,sale_closed
0.142857143,1,0.571428571,0.666666667,1,0,2,1,0.4,0.30251046,0,0.33,0.481481481,8,0,0,0.153306613,2,0.325,0.7744
0.857142857,0,0,0.333333333,2,2,2,0,0,0.337656904,0,0.33,0.518518519,23,0,0,0.02004008,1,0.0475,0.2818
0.142857143,0.285714286,1,0.555555556,0,2,0,1,0.4,0.057322176,0.5,1,0.407407407,6,0,0,0.052104208,3,0.6725,0.326
1,1,0.571428571,1,1,2,0,1,0.6,0.122594142,0.5,0.67,0.481481481,8,0.5,1,0.29258517,1,0,0.951
1,0,0,0.388888889,2,2,2,0,0,0.062133891,0.5,1,0.481481481,16,0,1,0.328657315,0,0.3625,0.8466
0,0,1,0.388888889,0,0,0,0,0,0.039748954,1,1,0.555555556,0,0,1,0.206412826,2,0.8425,0.8283
1,1,0.714285714,1,2,1,0,1,0.8,0.008158996,1,0.33,0.518518519,21,0,1,0.340681363,2,0.7625,0.3275
0.857142857,0.142857143,0.428571429,0.555555556,2,2,1,1,0.2,0.1958159,0.5,0.67,0.407407407,16,0,0,0.078156313,0,0.9975,0.8504
0,0,1,0.388888889,0,0,0,0,0,0.028451883,1,0.67,0.259259259,0,0.875,0,0.061122244,0,0.36,0.865
0.428571429,0.428571429,0.857142857,0.666666667,0,2,1,1,1,0.505020921,0,1,0.37037037,6,0,0,0.052104208,0,0.6175,0.4256
0.714285714,0,0,0.277777778,2,2,2,0,0,0.04832636,0.5,0.33,0.259259259,16,0,0,0.095190381,0,0.4425,0.8203
0,0.857142857,0,0.333333333,1,1,1,0,0,0.076359833,0.5,0.67,0.37037037,14,0.25,0,0.062124248,0,0.0425,0.2038
0,0.571428571,0,0.222222222,1,1,1,0,0,0.14539749,0.5,0.67,0.444444444,13,0,0,0.001002004,1,0.19,0.3092
0.571428571,0.571428571,0.571428571,0.666666667,0,0,0,1,0.6,0.038075314,1,0.33,0.666666667,4,0,1,0.359719439,1,0.5325,0.2187
0.285714286,0.428571429,0.571428571,0.5,0,0,0,1,0.2,0.125523013,0.5,0.33,0.407407407,0,0,1,0.800601202,3,0.72,0.8415
0,0,0.571428571,0.222222222,0,0,0,0,0,0.35376569,0,1,0.62962963,4,0,1,0.648296593,1,0,0.2026
0.142857143,0.857142857,0.857142857,0.722222222,1,2,1,1,0.4,0.028451883,1,0.33,0.37037037,14,0,1,0.428857715,3,0,0.3734
1,0,0,0.388888889,2,2,2,0,0,0.059832636,0.5,0.33,0.518518519,23,0.25,1,0.720440882,2,0.33,0.4563
1,0,0,0.388888889,2,2,2,0,0,0.765062762,0,0,0.333333333,23,0,0,0.146292585,1,0.055,0.3523
0.142857143,1,0.285714286,0.555555556,1,2,2,1,0.4,0.246861925,0.5,0.33,0.518518519,13,0,1,0.541082164,0,0.25,0.5306
0,1,0,0.388888889,1,1,1,0,0,0.005648536,1,0.67,0.555555556,8,0,1,0.829659319,1,0.92,0.9567
0.571428571,1,0.428571429,0.777777778,1,2,0,1,0.6,0.080125523,0.5,0,0.481481481,11,0,0,0.153306613,2,0.2425,0.2977
1,0,0,0.388888889,2,2,2,0,0,0.219665272,0.5,1,0.444444444,22,0,1,0.784569138,2,0.3275,0.5216
0,0,1,0.388888889,0,0,0,0,0,0.281171548,0,0.33,0.555555556,0,0,1,0.751503006,2,0.5925,0.8679
1,0.285714286,0.285714286,0.611111111,2,2,1,1,1,0.141631799,0.5,1,0.555555556,22,0,0,0.018036072,3,0.0975,0.5592
0,1,0,0.388888889,1,1,1,0,0,0.074267782,0.5,0.33,0.555555556,9,0,0,0.175350701,3,0.645,0.2145
0,0.857142857,0,0.333333333,1,1,1,0,0,0.069246862,0.5,0.67,0.481481481,8,0,0,0.073146293,0,0.3275,0.847
1,1,0.714285714,1,1,1,0,1,0.4,0.088912134,0.5,0.33,0.555555556,11,0,1,0.162324649,3,0,0.4133
0.857142857,0.714285714,0.714285714,0.888888889,1,2,0,1,0.2,0.198117155,0.5,0.67,0.444444444,8,0,0,0.088176353,1,0.98,0.7261
0,0,1,0.388888889,0,0,0,0,0,0.163389121,0.5,0.33,0.592592593,5,0,0,0.023046092,0,0,0.3007
0.714285714,0.428571429,0.857142857,0.777777778,0,1,0,1,0.2,0.151464435,0.5,0.67,0.592592593,0,0,1,0.861723447,2,1,0.7095
1,0.571428571,0.714285714,0.888888889,0,1,1,1,0.6,0.158786611,0.5,0.33,0.518518519,2,0,1,0.616232465,1,0.4,0.5127
0.571428571,0,0,0.222222222,2,2,2,0,0,0.238075314,0.5,0.67,0.333333333,16,0.875,0,0.04008016,2,0.34,0.8008
0,0,0.857142857,0.333333333,0,0,0,0,0,0.015271967,1,1,0.333333333,0,0,1,0.803607214,1,0.695,0.7937
1,0,0,0.388888889,2,2,2,0,0,0.389748954,0,1,0.703703704,20,0,1,0.431863727,1,0.3,0.184
0.714285714,0.857142857,0.142857143,0.666666667,2,0,0,1,0.4,0.237656904,0.5,0,0.444444444,17,0,1,0.925851703,1,0.295,0.1313
1,0.714285714,0.571428571,0.888888889,2,1,1,1,0.4,0.118200837,0.5,0.33,0.37037037,17,0,0,0.077154309,1,0,0.3997
0.428571429,0,0,0.166666667,2,2,2,0,0,0.160878661,0.5,0.33,0.259259259,21,0.5,0,0.095190381,3,1,0.6936
1,0.714285714,0.714285714,0.944444444,1,0,1,1,1,0.129707113,0.5,0.67,0.407407407,15,0,1,0.51503006,0,0.57,0.4401
0.857142857,1,0.571428571,0.944444444,2,1,2,1,0.8,0.056903766,0.5,1,0.222222222,16,0,1,0.843687375,3,0.0125,0.9582
0.571428571,0.142857143,0.857142857,0.611111111,0,2,0,1,0.2,0.036192469,1,0.67,0.333333333,0,0.5,1,0.53507014,2,0.1725,0.6816
0,0,1,0.388888889,0,0,0,0,0,0.169665272,0.5,0.33,0.62962963,0,0,1,0.650300601,0,0.2475,0.963
0.571428571,0.571428571,0.142857143,0.5,2,2,0,1,1,0.006276151,1,1,0.296296296,16,0.875,1,0.172344689,2,0.48,0.8397
0,1,0,0.388888889,1,1,1,0,0,0.048117155,0.5,0.67,0.555555556,13,0.25,1,0.688376754,0,1,0.6859
1,0.285714286,0.857142857,0.833333333,2,2,1,1,0.4,0.683891213,0,0,0.518518519,19,0,1,0.340681363,1,0.87,0.456
0.285714286,0.428571429,0.857142857,0.611111111,0,2,0,1,0.4,0.206485356,0.5,0.67,0.37037037,0,0.75,1,0.473947896,2,1,0.8721
0,0.571428571,0,0.222222222,1,1,1,0,0,0.00334728,1,0.67,0.259259259,8,0,1,0.835671343,0,0.41,0.8245
0.857142857,0.857142857,1,1,1,1,1,1,1,0.424686192,0,0.33,0.703703704,9,0,0,0.195390782,2,0.575,0.4407
1,0,0,0.388888889,2,2,2,0,0,0.10083682,0.5,0.67,0.62962963,16,0,1,0.480961924,3,0.575,0.812
1,0,0,0.388888889,2,2,2,0,0,0.182635983,0.5,0.33,0.62962963,16,0,1,0.522044088,0,0,0.7949
0.857142857,0.857142857,1,1,1,0,2,1,0.8,0.190585774,0.5,0.67,0.592592593,11,1,0,0.179358717,1,0.2325,0.2757
0.428571429,0.142857143,0.285714286,0.333333333,2,2,1,1,1,0.406485356,0,0,0.37037037,17,0,1,0.741482966,3,0.345,0.4221
1,0.857142857,0.285714286,0.833333333,0,0,0,1,0.6,0.164435146,0.5,0,0.407407407,3,0,1,0.837675351,0,0.845,0.2392
0.428571429,0,0,0.166666667,2,2,2,0,0,0.437447699,0,0.33,0.37037037,20,0,0,0.023046092,0,0.1125,0.1857
0,0,0.857142857,0.333333333,0,0,0,0,0,0.023640167,1,0.33,0.481481481,3,0,1,0.369739479,2,0.58,0.3457
0.571428571,1,0.571428571,0.833333333,1,0,2,1,0.8,0.041631799,1,0.33,0.407407407,11,0,1,0.347695391,2,0.03,0.2499
1,0,0,0.388888889,2,2,2,0,0,0.217364017,0.5,0,0.555555556,17,0.25,0,0.138276553,1,1,0.3454
1,0,0,0.388888889,2,2,2,0,0,0.391213389,0,0,0.37037037,18,0.125,0,0.075150301,2,0.1475,0.549
1,0.571428571,0.285714286,0.722222222,2,2,1,1,0.2,0.256276151,0,1,0.222222222,16,0.25,1,0.595190381,3,0.885,0.6769
0,0.285714286,0,0.111111111,1,1,1,0,0,0.005020921,1,0.33,0.481481481,13,0,0,0.027054108,1,0.0175,0.5746
0.428571429,0,0,0.166666667,2,2,2,0,0,0.027196653,1,0.33,0.259259259,17,0,0,0.080160321,0,0.0025,0.3761
0,0.571428571,0,0.222222222,1,1,1,0,0,0.276569038,0,1,0.592592593,8,0,1,0.674348697,0,0.135,0.9715
0,0,1,0.388888889,0,0,0,0,0,0.185564854,0.5,0.67,0.555555556,0,0,0,0.167334669,3,0.62,0.8986
0.714285714,0,0,0.277777778,2,2,2,0,0,0.080543933,0.5,0.67,0.481481481,22,0,0,0.051102204,3,0.17,0.433
0.142857143,0.714285714,1,0.722222222,0,0,1,1,1,0.171548117,0.5,0.67,0.481481481,2,0.875,1,0.604208417,0,0.3825,0.556
0.571428571,0.571428571,1,0.833333333,0,0,1,1,0.8,0.451046025,0,0.33,0.62962963,3,0,1,0.343687375,2,0.7825,0.598
0,0.857142857,0,0.333333333,1,1,1,0,0,0.189539749,0.5,0.33,0.407407407,15,0,0,0.076152305,2,0.7975,0.286
0.285714286,0.571428571,0.857142857,0.666666667,0,2,1,1,0.2,1,0,1,0.555555556,0,0,0,0.074148297,3,0.8325,0.7863
0.428571429,0.285714286,1,0.666666667,2,0,0,1,0.8,0.026987448,1,0.33,0.740740741,16,0,1,0.746492986,0,0.8875,0.7292
0.714285714,0,0,0.277777778,2,2,2,0,0,0.862133891,0,0,0.62962963,17,0,1,0.260521042,2,0.505,0.3656
1,0.142857143,0.857142857,0.777777778,2,2,2,1,0.2,0.09707113,0.5,0.33,0.518518519,17,0,0,0.090180361,0,0.355,0.3013
0.285714286,0.571428571,0.428571429,0.5,1,0,2,1,0.2,0.25041841,0,0.33,0.703703704,8,0,1,0.890781563,3,0.84,0.9045
0,0,0.285714286,0.111111111,0,0,0,0,0,0.307531381,0,1,0.185185185,6,0,0,0.128256513,0,0.985,0.3847
0,0,0.571428571,0.222222222,0,0,0,0,0,0.037656904,1,0.67,0.259259259,0,0,1,0.311623246,0,0.9425,0.7434
0,0,0.857142857,0.333333333,0,0,0,0,0,0.167364017,0.5,0.67,0.444444444,0,0,1,0.749498998,0,0.145,0.8176
1,0,0,0.388888889,2,2,2,0,0,0.15167364,0.5,0.67,0.444444444,16,0.375,0,0.043086172,3,0.8825,0.7325
0,0,0.428571429,0.166666667,0,0,0,0,0,0.554811715,0,0.33,0.37037037,4,0,0,0.140280561,3,0.96,0.1918
0.428571429,0,0,0.166666667,2,2,2,0,0,0.026778243,1,0.67,0.481481481,22,0.125,1,0.495991984,1,0.7675,0.7541
0.857142857,0.142857143,1,0.777777778,0,2,1,1,0.8,0.107740586,0.5,0.67,0.481481481,5,1,1,0.396793587,0,0.81,0.7646
0,0,0.857142857,0.333333333,0,0,0,0,0,0.023012552,1,0.33,0.444444444,4,0,0,0.021042084,3,0.96,0.2092
0.857142857,1,0.571428571,0.944444444,1,2,2,1,0.8,0.307112971,0,0.33,0.481481481,15,0,1,0.478957916,3,0.6,0.4668
0.714285714,0.285714286,0.428571429,0.555555556,1,2,2,1,0.2,0.118200837,0.5,0,0.444444444,15,0,1,0.457915832,1,0,0.3661
0,0,0.571428571,0.222222222,0,0,0,0,0,0.213179916,0.5,0,0.444444444,7,0,0,0.162324649,1,0.8675,0.2766
0,1,0,0.388888889,1,1,1,0,0,0.078033473,0.5,1,0.407407407,10,0,1,0.54008016,0,0.245,0.5034
1,0,0,0.388888889,2,2,2,0,0,0.310878661,0,0,0.555555556,17,0.625,0,0.081162325,2,0.6025,0.3712
0.714285714,0.428571429,0.428571429,0.611111111,2,0,1,1,1,0.064644351,0.5,0.67,0.518518519,16,0,1,0.465931864,0,0.05,0.934
0.571428571,0.428571429,0.428571429,0.555555556,0,2,2,1,0.2,0.157531381,0.5,0.67,0.407407407,6,0,0,0.086172345,2,0.2225,0.3675
1,0.714285714,0.285714286,0.777777778,2,1,0,1,0.6,0.121338912,0.5,0.67,0.481481481,23,0,0,0.072144289,0,0.8225,0.3549
0.428571429,0,0,0.166666667,2,2,2,0,0,0.188702929,0.5,0.33,0.555555556,16,0,1,0.512024048,0,0.6075,0.7669
0,0.571428571,0,0.222222222,1,1,1,0,0,0.039958159,1,1,0.481481481,8,0,1,0.988977956,3,0.4,0.8802
0.428571429,0.714285714,0.571428571,0.666666667,1,2,2,1,0.2,0.016317992,1,0.33,0.555555556,11,0,1,0.634268537,3,0.4975,0.356
0.857142857,0,0,0.333333333,2,2,2,0,0,0.142050209,0.5,0.67,0.333333333,16,0,0,0.078156313,2,0.3975,0.7564
0.714285714,0.714285714,0.142857143,0.611111111,2,0,0,1,1,0.095606695,0.5,0.33,0.518518519,16,0,1,0.733466934,0,1,0.7537
0.428571429,0,0,0.166666667,2,2,2,0,0,0.036610879,1,1,0.296296296,16,0,1,0.578156313,0,1,0.7954
1,0.285714286,0.285714286,0.611111111,2,2,0,1,1,0.058786611,0.5,0.33,0.592592593,22,0,1,0.480961924,2,0.4475,0.6245
0.857142857,0,0,0.333333333,2,2,2,0,0,0.007740586,1,0.33,0.592592593,17,0,1,0.372745491,0,0.85,0.3075
0.428571429,0.571428571,0.857142857,0.722222222,0,1,0,1,1,0.10125523,0.5,1,0.259259259,0,0,0,0.151302605,3,0.3275,0.7208
0,1,0,0.388888889,1,1,1,0,0,0.538702929,0,0.33,0.481481481,12,0.5,1,0.808617234,3,0.38,0.2063
0.428571429,0.714285714,0.428571429,0.611111111,2,2,2,1,0.8,0.269456067,0,0.67,0.555555556,16,0.125,0,0.046092184,0,0.5575,0.7823
0.571428571,0,0,0.222222222,2,2,2,0,0,0.216317992,0.5,0.67,0.333333333,23,0,0,0.044088176,2,0,0.3453
0.428571429,0,0,0.166666667,2,2,2,0,0,0.202301255,0.5,0.33,0.518518519,20,0,1,0.80260521,2,0.505,0.1839
