primary_sentiment,sentiment_score,sentiment_combo_score,intent,message_quality,summary_length,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,historical_avg_sentiment,industry_close_rate,lead_completeness,lead_source,agent_response_ratio,attachment_shared,sale_closed
0.4,0.0,0.25,0.8,1.0,0.6165951359084407,1.0,0.0,0.0,0.0,0.5111111111111112,0.54375,1.0,0.5,0.32499999999999996,1.0,0.7744
0.1,0.0,0.0,0.8,0.25,0.48783977110157367,1.0,0.16486486486486482,0.0,0.0,0.4333333333333334,0.7156250000000002,0.0,0.6,0.04749999999999999,1.0,0.2818
0.2,0.0,0.0,0.4,0.25,0.7353361945636624,0.0,0.13243243243243238,0.0,0.0,0.5444444444444444,0.703125,1.0,0.6,0.6724999999999999,0.0,0.326
0.65,0.30612244897959195,0.5,0.6,1.0,0.9985693848354793,1.0,0.0,0.5,1.0,0.6222222222222222,0.6937500000000001,1.0,0.6,0.0,1.0,0.951
0.4,0.0,0.25,0.4,1.0,0.9270386266094421,1.0,0.03513513513513514,0.0,0.0,0.8222222222222222,0.5249999999999999,1.0,0.6,0.36250000000000004,1.0,0.8466
1.0,1.0000000000000002,0.25,0.3,0.5,0.4563662374821173,1.0,0.07297297297297298,0.0,0.0,0.8333333333333333,0.8406250000000004,1.0,0.5,0.8425,1.0,0.8283
0.2,0.0,0.0,0.4,0.25,0.5007153075822605,1.0,0.44594594594594583,0.0,0.0,0.3888888888888889,0.26249999999999996,0.0,0.8,0.7625,1.0,0.3275
0.65,0.4693877551020409,0.5,1.0,0.5,0.8297567954220315,1.0,0.10540540540540536,0.0,0.0,0.6,0.47187500000000027,0.0,0.6,0.9974999999999998,1.0,0.8504
0.2,0.0,0.0,0.95,1.0,0.9041487839771102,1.0,0.03513513513513514,0.875,1.0,0.12222222222222222,0.640625,1.0,0.5,0.3600000000000001,0.0,0.865
1.0,1.0000000000000002,0.0,0.2,0.5,0.3304721030042918,0.0,0.40810810810810805,0.0,0.0,0.6666666666666666,0.4125000000000001,0.0,0.6,0.6175000000000002,1.0,0.4256
