state,completeness,source_channel,days_in_pipeline,days_since_last_msg,sentiment,summary_length,message_length,org_industry,has_quotation,total_price_with_tax,is_enterprise_deal,quotation_revision_count,has_feedback,quotation_sent_via,followup_response_rate,has_urgency_keyword,has_price_mention,agent_response_ratio,attachment_shared,installation_charge,installation_is_free,capacity_value,capacity_unit,capacity_bin,product_type_attr,base_price,tax_rate,sale_closed
1.0,1.0,0.67,1.234048729389837,-0.28604448709382674,0.4,0.22455151370151435,0.07663873436962756,8,1.0,1.7355715115173513,1.0,0.3989668144784329,0.0,0.0,-0.8135862919622274,1.0,1.0,-0.5647543486129644,1.0,1.0,0.0,0.0015834652887740644,2,8,0,1.1512026473204215,0.0,0.7744
0.2,0.0,0.0,-0.9036989332664742,0.7213022025983,0.1,-0.3068447144778827,-1.2887330921151265,8,0.0,-0.992740901497401,0.0,-0.7068170393974897,0.0,0.5,-1.2655480925044473,0.0,0.0,-1.4241626350402803,1.0,0.0,1.0,0.0017918159846653885,1,6,4,-1.5041112523236544,0.0,0.2818
0.1,1.0,0.0,-1.2686802415248688,-1.1255000618372657,0.2,0.714616924133625,-1.4232015295719584,6,0.0,-0.8067791274263154,0.0,-0.7068170393974897,0.0,0.5,-1.156805403652184,0.0,0.0,0.5114416136698904,0.0,0.0,1.0,0.005125427118926576,1,1,3,-1.143503279605901,0.0,0.326
1.0,1.0,0.0,1.3643991966249778,-0.6218267169912023,0.65,1.8010269906337255,0.1697322679935881,3,1.0,-0.8574166058118693,0.0,1.5047506683543557,1.0,0.5,-0.3412352372602081,1.0,0.0,-1.5712685579422534,1.0,0.6666666666666667,0.0,0.0,2,5,6,-0.6528860004747018,0.0,0.951
1.0,1.0,0.0,1.103698262154696,-1.1255000618372657,0.4,1.5058068638673938,1.2041048638153715,4,1.0,-0.805033007481986,0.0,1.5047506683543557,1.0,1.0,-0.2188997123014116,1.0,1.0,-0.448618093690354,1.0,0.6666666666666667,0.0,4.1670139178264846e-05,2,5,6,-0.5276491252900967,0.0,0.8466
1.0,1.0,0.67,0.8690674211314423,-1.2094456193116097,1.0,-0.43674157025506866,-1.08185857295077,3,1.0,-0.5169232166676282,0.0,-0.7068170393974897,0.0,1.0,-0.6334812135506661,0.0,0.0,1.0379259693190575,1.0,0.8333333333333334,0.0,0.00012501041753479455,2,5,6,-0.09503150223522623,0.0,0.8283
0.4,0.0,1.0,-0.6169279053491642,0.7213022025983,0.2,-0.253705091659943,-1.7542007602349292,5,1.0,-0.5343844161109226,0.0,-0.7068170393974897,1.0,0.5,-0.17812120398181275,0.0,0.0,0.7901686254841553,1.0,0.8333333333333334,0.0,0.00022918576548045666,2,4,6,0.1388408453858948,0.0,0.3275
1.0,0.0,0.0,1.0776281687076679,-0.7057722744655462,0.65,1.1043074914651827,-0.7922342461206706,6,1.0,0.32121435661050374,1.0,0.3989668144784329,0.0,0.0,-1.0684519689597198,1.0,1.0,1.5179558229991794,1.0,1.0,0.0,0.0015834652887740644,2,8,0,1.1512026473204215,0.0,0.8504
1.0,1.0,0.67,1.0254879818136113,-0.8736633894142339,0.2,1.4113364233021677,0.8834493591106187,6,1.0,0.32121435661050374,1.0,1.5047506683543557,0.0,0.0,-1.1262215224124847,0.0,0.0,-0.4563605106851947,0.0,1.0,0.0,0.0015834652887740644,2,8,0,1.1512026473204215,0.0,0.865
0.1,0.0,0.0,-1.5293811759951508,-1.1255000618372657,1.0,-0.9563289933638124,-0.6681095346220566,9,0.0,-1.0765546588252142,0.0,-0.7068170393974897,0.0,0.5,-1.156805403652184,0.0,0.0,0.34110843978339606,1.0,0.0,1.0,0.0009584132011000917,1,6,4,-1.6232570455764104,0.0,0.4256
1.0,1.0,0.0,0.8951375145784705,-0.11815337214513894,0.4,-1.464107611401903,-1.0404836691178987,5,1.0,-0.7089964105438668,0.0,-0.7068170393974897,1.0,0.5,-1.010682415506955,1.0,1.0,-0.20086074985545233,1.0,0.6666666666666667,0.0,4.1670139178264846e-05,2,5,6,-0.5276491252900967,0.0,0.8203
0.1,0.0,1.0,-1.2686802415248688,-0.6218267169912023,0.1,-0.4662635829317018,-1.2163270104076018,7,0.0,1.7355715115173513,1.0,-0.7068170393974897,0.0,0.5,-1.1228233133858516,0.0,0.0,-1.4396474690299617,0.0,1.0,0.0,0.0015834652887740644,2,8,0,1.1512026473204215,0.0,0.2038
0.4,1.0,1.0,-0.5126475315610515,-0.7897178319398901,0.5,-0.23008748151863645,-0.3577977558755215,4,0.0,1.421269921538052,1.0,-0.7068170393974897,0.0,0.5,-1.3301140640104787,0.0,1.0,-0.9828448663343613,0.0,1.0,0.0,0.00137511459288274,2,8,0,1.0776814189625505,0.0,0.3092
0.4,1.0,0.67,-1.868292390806517,-0.11815337214513894,1.0,-0.737866099556727,0.024920104578538393,10,0.0,-0.7788412083170444,0.0,-0.7068170393974897,0.0,0.5,-0.11355523247578146,0.0,0.0,0.07786626195881256,0.0,0.6666666666666667,0.0,0.0,2,5,6,-0.6528860004747018,0.0,0.2187
1.0,1.0,0.67,0.9212076080254987,-0.03420781467079504,0.4,-1.0035642136464256,-0.264704222251561,7,1.0,-0.9010696044201053,0.0,0.3989668144784329,1.0,1.0,1.3816567392428412,1.0,0.0,0.6585475365718636,0.0,0.8333333333333334,0.0,0.00012501041753479455,2,5,6,-0.09503150223522623,0.0,0.8415
0.4,1.0,0.67,-1.8422222973594888,-1.1255000618372657,0.85,1.0393590635765897,0.49038777269834094,9,0.0,-0.9359920033066941,0.0,-0.7068170393974897,0.0,0.5,0.8651289671945898,0.0,0.0,-1.5712685579422534,0.0,0.6666666666666667,0.0,0.0,2,5,6,-0.6528860004747018,0.0,0.2026
0.1,1.0,0.0,-1.5033110825481224,0.8891933175469878,0.5,1.00393264836463,0.3248881573668556,9,0.0,0.02437396607449869,1.0,-0.7068170393974897,0.0,0.5,0.12092119036191162,0.0,1.0,-1.5712685579422534,0.0,0.8333333333333334,0.0,0.00022918576548045666,2,4,6,0.1388408453858948,0.0,0.3734
0.2,0.0,0.0,-1.1643998677367562,0.4694655301752683,0.1,-0.44264597279039525,0.0869824603278454,9,1.0,-0.9324997634180352,0.0,0.3989668144784329,1.0,0.0,1.1098000171121822,0.0,0.0,-0.549269514623283,1.0,0.0,1.0,0.0061671805983831976,1,1,3,-1.0717081118759413,0.0,0.4563
0.2,0.0,0.0,-1.007979307054587,2.400213352085178,0.85,-1.6943793102796416,-0.47157874141591766,3,0.0,-0.5169232166676282,0.0,-0.7068170393974897,0.0,0.5,-0.8373737551486601,1.0,0.0,-1.4009353840557581,0.0,0.8333333333333334,0.0,0.00012501041753479455,2,5,6,-0.09503150223522623,0.0,0.3523
0.4,1.0,0.0,-0.6951381856902488,0.3855199727009244,0.65,0.6850949114569918,-0.9577338614521559,6,1.0,-0.13277682891515105,1.0,2.6105345222302785,0.0,0.0,0.5015206013448339,0.0,0.0,-0.7970268584581847,1.0,0.8333333333333334,0.0,0.00012501041753479455,2,5,6,-0.09503150223522623,0.0,0.5306
1.0,1.0,1.0,0.9472777014725269,-0.36999004456817064,0.5,-0.9327113832225059,-0.575016000998096,7,1.0,-0.9726605221376124,0.0,0.3989668144784329,0.0,0.0,1.4802048010152047,0.0,1.0,1.2779408961591188,1.0,0.0,1.0,0.0061671805983831976,1,1,3,-1.0717081118759413,0.0,0.9567
0.35,1.0,0.0,0.3215954587438504,2.23232223713649,0.2,0.3898747846906601,0.9765428927345792,6,0.0,-0.9648029823881299,0.0,-0.7068170393974897,0.0,0.5,-0.8135862919622274,0.0,0.0,-0.8202541094427067,0.0,0.0,1.0,0.00137511459288274,1,6,4,-1.56084574911661,0.0,0.2977
0.1,1.0,0.0,-1.711871830124348,-1.2094456193116097,0.2,-0.655204464062154,-1.3507954478644337,3,0.0,0.4609039521568591,1.0,-0.7068170393974897,0.0,0.5,1.3272853948167094,0.0,1.0,-0.5570119316181237,1.0,1.0,0.0,0.0017918159846653885,2,8,0,1.2099952302166228,0.0,0.5216
